safebrowsing.googleapis.com	/v4/
ss0.baidu.com	/73t1bjeh1BF3odCf/it/
ss0.baidu.com	/6ONWsjip0QIZ8tyhnq/it/
ss1.baidu.com	/6ONXsjip0QIZ8tyhnq/it/
ss0.bdstatic.com	/9uN1bjq8AAUYm2zgoY3K/
sp0.baidu.com	/5a1Fazu8AA54nxGko9WTAnF6hhy/
www.baidu.com	/home/msg/data/
sp2.baidu.com	/8LUYsjW91Qh3otqbppnN2DJv/
sp3.baidu.com	/-0U_dTmfKgQFm2e88IuM_a/
static2.ichunqiu.com	/icq/resources/js/base/
static2.ichunqiu.com	/icq/resources/js/plugin/
static2.ichunqiu.com	/icq/resources/js/home/
ss2.baidu.com	/6ONYsjip0QIZ8tyhnq/it/
static2.ichunqiu.com	/icq/resources/js/IRD/
